step,time,requested_x,requested_y,requested_z,i,j,k,T,pressure,velocity_magnitude
173,8.65,0.22,0,0.3,4,0,13,20,-0.00276867,0.0319969
174,8.7,0.22,0,0.3,4,0,13,20,0,0
175,8.75,0.22,0,0.3,4,0,13,20,-0.00276867,0.0319969
176,8.8,0.22,0,0.3,4,0,13,20,0,0
177,8.85,0.22,0,0.3,4,0,13,20,-0.00276867,0.0319969
178,8.9,0.22,0,0.3,4,0,13,20,0,0
179,8.95,0.22,0,0.3,4,0,13,20,-0.00276867,0.0319969
180,9,0.22,0,0.3,4,0,13,20,0,0
181,9.05,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
182,9.1,0.22,0,0.3,4,0,13,20,0,0
183,9.15,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
184,9.2,0.22,0,0.3,4,0,13,20,0,0
185,9.25,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
186,9.3,0.22,0,0.3,4,0,13,20,0,0
187,9.35,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
188,9.4,0.22,0,0.3,4,0,13,20,0,0
189,9.45,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
190,9.5,0.22,0,0.3,4,0,13,20,0,0
191,9.55,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
192,9.6,0.22,0,0.3,4,0,13,20,0,0
193,9.65,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
194,9.7,0.22,0,0.3,4,0,13,20,0,0
195,9.75,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
196,9.8,0.22,0,0.3,4,0,13,20,0,0
197,9.85,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
198,9.9,0.22,0,0.3,4,0,13,20,0,0
199,9.95,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
200,10,0.22,0,0.3,4,0,13,20,0,0
201,10.05,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
202,10.1,0.22,0,0.3,4,0,13,20,0,0
203,10.15,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
204,10.2,0.22,0,0.3,4,0,13,20,0,0
205,10.25,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
206,10.3,0.22,0,0.3,4,0,13,20,0,0
207,10.35,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
208,10.4,0.22,0,0.3,4,0,13,20,0,0
209,10.45,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
210,10.5,0.22,0,0.3,4,0,13,20,0,0
211,10.55,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
212,10.6,0.22,0,0.3,4,0,13,20,0,0
213,10.65,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
214,10.7,0.22,0,0.3,4,0,13,20,0,0
215,10.75,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
216,10.8,0.22,0,0.3,4,0,13,20,0,0
217,10.85,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
218,10.9,0.22,0,0.3,4,0,13,20,0,0
219,10.95,0.22,0,0.3,4,0,13,20,-0.00276866,0.0319969
220,11,0.22,0,0.3,4,0,13,20,0,0
221,11.05,0.22,0,0.3,4,0,13,20,-0.00276865,0.0319969
222,11.1,0.22,0,0.3,4,0,13,20,0,0
223,11.15,0.22,0,0.3,4,0,13,20,-0.00276865,0.0319969
224,11.2,0.22,0,0.3,4,0,13,20,0,0
225,11.25,0.22,0,0.3,4,0,13,20,-0.00276865,0.0319969
226,11.3,0.22,0,0.3,4,0,13,20,0,0
227,11.35,0.22,0,0.3,4,0,13,20,-0.00276865,0.0319969
228,11.4,0.22,0,0.3,4,0,13,20,0,0
229,11.45,0.22,0,0.3,4,0,13,20,-0.00276865,0.0319969
230,11.5,0.22,0,0.3,4,0,13,20,0,0
231,11.55,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
232,11.6,0.22,0,0.3,4,0,13,20,0,0
233,11.65,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
234,11.7,0.22,0,0.3,4,0,13,20,0,0
235,11.75,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
236,11.8,0.22,0,0.3,4,0,13,20,0,0
237,11.85,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
238,11.9,0.22,0,0.3,4,0,13,20,0,0
239,11.95,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
240,12,0.22,0,0.3,4,0,13,20,0,0
241,12.05,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
242,12.1,0.22,0,0.3,4,0,13,20,0,0
243,12.15,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
244,12.2,0.22,0,0.3,4,0,13,20,0,0
245,12.25,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
246,12.3,0.22,0,0.3,4,0,13,20,0,0
247,12.35,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
248,12.4,0.22,0,0.3,4,0,13,20,0,0
249,12.45,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
250,12.5,0.22,0,0.3,4,0,13,20,0,0
251,12.55,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
252,12.6,0.22,0,0.3,4,0,13,20,0,0
253,12.65,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
254,12.7,0.22,0,0.3,4,0,13,20,0,0
255,12.75,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
256,12.8,0.22,0,0.3,4,0,13,20,0,0
257,12.85,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
258,12.9,0.22,0,0.3,4,0,13,20,0,0
259,12.95,0.22,0,0.3,4,0,13,20,-0.00276865,0.031997
260,13,0.22,0,0.3,4,0,13,20,0,0
261,13.05,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
262,13.1,0.22,0,0.3,4,0,13,20,0,0
263,13.15,0.22,0,0.3,4,0,13,20,-0.00276864,0.031997
264,13.2,0.22,0,0.3,4,0,13,20,0,0
