step,time,x,y,z,T,qdot,is_component,k,rho,cp,vx,vy,vz,h
dx,0.1,dy,0.1,dz,0.01
0,0,1,2,14,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,15,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,16,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,17,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,18,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,19,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,20,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,21,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,22,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,23,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,24,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,25,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,26,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,27,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,28,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,29,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,30,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,31,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,32,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,33,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,34,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,35,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,36,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,37,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,38,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,39,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,40,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,1,2,41,20,0,0,0.02587,1.225,1005.5,0,0,0,0
